secid,ticker,exercise_style,date,close,rate,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,590000,65.5,66.5,10,40
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,600000,2.4,2.55,430,460
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,600000,74.9,75.8,54,2
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,610000,1.7,1.85,110,84
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,610000,84.7,85.6,94,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,620000,1.1,1.3,130,111
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/18/07,P,620000,94.7,95.6,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,630000,0.75,0.9,34,23
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,630000,104.7,105.6,1,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,640000,0.45,0.65,60,50
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,640000,114.7,115.6,4,10
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,650000,0.35,0.45,55,106
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,650000,124.7,125.6,20,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,,C,660000,0.25,0.3,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/21/07,P,660000,134.7,135.7,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,670000,0.15,0.25,40,50
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,P,670000,144.7,145.7,22,0
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,270000,258,258.9,1,159
121812,GOOG,A,6/22/07,524.98,0,9/22/07,5/18/07,P,270000,0,0.05,0,254
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,C,280000,248.2,249,0,71
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/8/07,P,280000,0,0.15,0,195
121812,GOOG,A,6/22/07,524.98,0,9/22/07,5/30/07,C,290000,238.3,239.2,0,71
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/8/07,P,290000,0,0.15,0,178
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,C,300000,228.5,229.3,0,53
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/11/07,P,300000,0,0.15,0,201
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/12/07,C,310000,218.6,219.5,0,32
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/18/07,P,310000,0.05,0.15,0,185
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/7/07,C,320000,208.7,209.6,0,27
121812,GOOG,A,6/22/07,524.98,0,9/22/07,5/24/07,P,320000,0.05,0.15,0,94
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/13/07,C,330000,198.8,199.8,0,622
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,330000,0.05,0.2,10,615
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,340000,189.1,190,2,108
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/18/07,P,340000,0.1,0.2,0,665
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,350000,179.2,180.1,4,969
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/18/07,P,350000,0.15,0.25,0,528
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,C,360000,169.5,170.3,0,40
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/15/07,P,360000,0.2,0.35,0,771
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,C,370000,159.7,160.5,0,77
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,370000,0.3,0.4,21,767
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/18/07,C,380000,149.8,150.8,0,109
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,380000,0.4,0.55,53,754
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/20/07,C,390000,140.2,141.1,0,104
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,390000,0.55,0.7,25,591
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,400000,130.6,131.5,10,212
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,400000,0.75,0.9,34,1435
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,C,410000,120.9,121.9,0,215
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,410000,1.05,1.2,51,488
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/19/07,C,420000,111.4,112.4,0,256
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,420000,1.45,1.6,242,1055
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,430000,102.2,103.1,2,413
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,430000,2.1,2.15,150,1069
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,440000,93,93.8,1,561
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,440000,2.7,2.9,119,1327
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,450000,84.1,84.9,19,926
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,450000,3.6,3.9,125,1575
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,460000,75.4,76.2,21,1011
